question_no,section,genre,display,answer
1,5,プログラミングタイピング②,"ls -la","ls -la"
2,5,プログラミングタイピング②,"cd /var/log","cd /var/log"
3,5,プログラミングタイピング②,"grep -R ""ERROR"" ./app.log | tail -n 20","grep -R ""ERROR"" ./app.log | tail -n 20"
4,5,プログラミングタイピング②,"find /tmp -type f -name ""*.log"" -mtime +7","find /tmp -type f -name ""*.log"" -mtime +7"
5,5,プログラミングタイピング②,"df -h","df -h"
6,5,プログラミングタイピング②,"free -m","free -m"
7,5,プログラミングタイピング②,"ps aux | grep nginx","ps aux | grep nginx"
8,5,プログラミングタイピング②,"systemctl status nginx","systemctl status nginx"
9,5,プログラミングタイピング②,"journalctl -u nginx --since ""30 minutes ago""","journalctl -u nginx --since ""30 minutes ago"""
10,5,プログラミングタイピング②,"ip addr show","ip addr show"
11,5,プログラミングタイピング②,"ip route","ip route"
12,5,プログラミングタイピング②,"ping -c 4 8.8.8.8","ping -c 4 8.8.8.8"
13,5,プログラミングタイピング②,"curl -I https://example.com","curl -I https://example.com"
14,5,プログラミングタイピング②,"ss -tulpn","ss -tulpn"
15,5,プログラミングタイピング②,"chmod 755 deploy.sh","chmod 755 deploy.sh"
16,5,プログラミングタイピング②,"chown app:app /opt/app -R","chown app:app /opt/app -R"
17,5,プログラミングタイピング②,"tar -czf backup.tar.gz /opt/app","tar -czf backup.tar.gz /opt/app"
18,5,プログラミングタイピング②,"export APP_ENV=production","export APP_ENV=production"
19,5,プログラミングタイピング②,"echo $APP_ENV","echo $APP_ENV"
20,5,プログラミングタイピング②,"git status","git status"
21,5,プログラミングタイピング②,"git pull origin main","git pull origin main"
22,5,プログラミングタイピング②,"docker ps","docker ps"
23,5,プログラミングタイピング②,"docker logs --tail 50 kir-app","docker logs --tail 50 kir-app"
24,5,プログラミングタイピング②,"docker exec -it kir-app /bin/bash","docker exec -it kir-app /bin/bash"
